               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.032992,            0.013622,           0.0092089,             0.40687,             0.81599,             0.46007,             0.24079,            0.028615,           0.0049337,             0.11079,            0.005248,            0.005248,            0.005248
                  50,            0.027285,            0.014105,            0.005395,              0.3968,             0.83124,             0.44749,             0.23792,            0.027246,           0.0050726,             0.11273,            0.005149,            0.005149,            0.005149
                  51,            0.031726,            0.014227,           0.0055726,             0.37759,             0.85917,             0.45746,             0.25238,             0.02693,           0.0050272,             0.11169,             0.00505,             0.00505,             0.00505
                  52,            0.032549,             0.01411,           0.0040583,             0.40909,             0.80011,             0.46045,             0.25364,            0.027152,           0.0050119,             0.11011,            0.004951,            0.004951,            0.004951
                  53,            0.034617,            0.012793,           0.0062641,             0.40557,             0.71898,             0.44533,             0.26866,            0.026075,           0.0050846,             0.11005,            0.004852,            0.004852,            0.004852
                  54,            0.029616,            0.013135,           0.0059235,             0.39992,             0.71994,             0.41566,             0.23813,            0.028513,           0.0050333,             0.11444,            0.004753,            0.004753,            0.004753
                  55,            0.028011,            0.012789,            0.004333,             0.39208,             0.69755,             0.44591,             0.23946,            0.031189,           0.0050481,             0.11562,            0.004654,            0.004654,            0.004654
                  56,            0.033832,            0.013827,           0.0051384,             0.40513,             0.77058,              0.4593,             0.25048,            0.028243,           0.0050677,             0.11514,            0.004555,            0.004555,            0.004555
                  57,            0.027911,             0.01361,            0.006846,             0.40226,             0.72058,             0.44153,             0.25849,            0.026043,            0.004931,             0.11855,            0.004456,            0.004456,            0.004456
                  58,            0.028291,            0.013295,           0.0049835,             0.40896,             0.63913,             0.39691,             0.22615,            0.025584,           0.0051388,             0.12033,            0.004357,            0.004357,            0.004357
                  59,            0.031349,            0.013663,           0.0063824,             0.43098,             0.64009,              0.3957,             0.22217,            0.026394,           0.0051169,             0.11857,            0.004258,            0.004258,            0.004258
                  60,            0.025535,            0.013278,           0.0040037,             0.40444,             0.70501,              0.4351,             0.25169,            0.024356,           0.0051592,             0.11813,            0.004159,            0.004159,            0.004159
                  61,            0.023292,            0.012952,           0.0045375,             0.40151,             0.81471,             0.45072,             0.24263,            0.023715,           0.0048802,             0.12102,             0.00406,             0.00406,             0.00406
                  62,            0.028251,            0.012766,           0.0047606,             0.40102,             0.80011,             0.45918,              0.2699,            0.023751,           0.0049891,             0.12217,            0.003961,            0.003961,            0.003961
                  63,            0.025334,            0.012577,           0.0031986,             0.43333,             0.75533,             0.46224,             0.26068,            0.027077,           0.0048115,             0.12326,            0.003862,            0.003862,            0.003862
                  64,            0.027034,            0.011958,           0.0048831,             0.46197,             0.78486,             0.48428,             0.28042,            0.025205,           0.0047773,             0.12201,            0.003763,            0.003763,            0.003763
                  65,            0.027782,            0.012502,           0.0056567,             0.45841,             0.80011,             0.49792,             0.28994,            0.024975,           0.0046604,             0.12378,            0.003664,            0.003664,            0.003664
                  66,            0.024892,            0.012638,           0.0039948,             0.46388,             0.75565,             0.48058,             0.28859,             0.02639,           0.0048113,             0.12354,            0.003565,            0.003565,            0.003565
                  67,            0.025735,            0.012841,           0.0037716,             0.45339,             0.76311,             0.47763,             0.28084,            0.024728,           0.0045915,             0.12449,            0.003466,            0.003466,            0.003466
                  68,            0.024903,            0.013225,           0.0028545,             0.44525,             0.85949,             0.48732,             0.28958,            0.024249,            0.004552,             0.12282,            0.003367,            0.003367,            0.003367
                  69,            0.025331,            0.012322,           0.0038335,              0.4561,             0.78518,             0.48769,             0.26505,            0.027747,           0.0048104,             0.12253,            0.003268,            0.003268,            0.003268
                  70,            0.026184,            0.012624,           0.0040929,             0.46513,             0.76375,             0.46186,             0.24854,            0.027332,           0.0050095,             0.12433,            0.003169,            0.003169,            0.003169
                  71,            0.023681,            0.012246,           0.0045802,             0.46743,             0.77249,             0.47395,             0.26498,            0.024782,           0.0050341,              0.1276,             0.00307,             0.00307,             0.00307
                  72,            0.027338,            0.012844,           0.0043461,             0.49697,             0.77217,             0.49087,             0.27025,            0.026219,           0.0049972,             0.12817,            0.002971,            0.002971,            0.002971
                  73,            0.025581,            0.012036,           0.0043941,             0.46862,             0.77154,             0.48698,             0.29313,            0.022837,           0.0050826,             0.12713,            0.002872,            0.002872,            0.002872
                  74,            0.024985,            0.012485,           0.0042682,              0.4382,              0.7339,             0.48352,             0.29472,            0.022863,           0.0050453,             0.12824,            0.002773,            0.002773,            0.002773
                  75,            0.026366,            0.012221,           0.0032262,             0.45719,             0.78646,             0.46917,             0.27639,            0.023376,           0.0048126,             0.13013,            0.002674,            0.002674,            0.002674
                  76,            0.025156,            0.012314,           0.0031747,             0.46488,             0.77217,             0.47026,             0.26073,            0.026041,           0.0047058,             0.12958,            0.002575,            0.002575,            0.002575
                  77,            0.027589,            0.012136,           0.0043212,             0.47165,             0.66898,             0.46354,             0.26821,            0.026687,           0.0048061,             0.12803,            0.002476,            0.002476,            0.002476
                  78,            0.023795,            0.012113,           0.0030772,             0.47121,             0.63881,             0.45557,             0.27893,            0.026777,           0.0048015,             0.12901,            0.002377,            0.002377,            0.002377
                  79,             0.02428,            0.011937,           0.0021296,             0.46731,             0.66023,             0.45863,             0.29391,            0.025088,             0.00469,             0.13106,            0.002278,            0.002278,            0.002278
                  80,            0.022088,            0.011854,           0.0026006,             0.45757,             0.64531,             0.45207,             0.29695,            0.024659,           0.0046304,             0.13198,            0.002179,            0.002179,            0.002179
                  81,            0.027545,            0.012629,           0.0046102,              0.4738,             0.60117,             0.44104,             0.28274,            0.026449,           0.0047008,             0.13214,             0.00208,             0.00208,             0.00208
